Estacion,Fecha,Especie,Circunferencia a la altura del pecho,DAP,Fromard et al 1998,"Medina, 2016",Yepes et al 2016 A,Yepes et al 2016 B
Estacion,4/19/2017,Avicennia,44,14.00560224,78.93185827,129.8925227,4.506670654,90.60731844
Estacion,4/19/2017,Avicennia,9,2.864782277,1.750442811,2.653674096,0.618606265,1.856304425
Estacion,4/19/2017,Avicennia,7.5,2.387318564,1.13008975,1.697144903,0.171918451,1.187574837
Estacion,4/19/2017,Avicennia,29,9.230965113,29.02158308,46.74039692,3.485280834,32.62816639
Estacion,4/19/2017,Avicennia,13,4.138018844,4.230872613,6.537115247,1.519531976,4.569876741
Estacion,4/19/2017,Avicennia,17,5.411255411,8.054587711,12.61893912,2.176778743,8.817278082
Estacion,4/19/2017,Avicennia,28,8.912655971,26.6775031,42.8872866,3.3993071,29.94028115
Estacion,4/19/2017,Avicennia,13,4.138018844,4.230872613,6.537115247,1.519531976,4.569876741
Estacion,4/19/2017,Avicennia,14,4.456327986,5.054441676,7.83958963,1.701096508,5.479672296
Estacion,4/19/2017,Avicennia,62,19.73516679,179.7653392,301.1188408,5.346885294,209.9195441
Estacion,4/19/2017,Avicennia,108.5,34.53654189,688.6479762,1187.392534,6.717943974,826.9479386
Estacion,4/19/2017,Avicennia,31.5,10.02673797,35.39249937,57.24521745,3.687875538,39.95542749
Estacion,4/19/2017,Avicennia,63.3,20.14896868,188.9447407,316.8346713,5.397725107,220.867421
Estacion,4/19/2017,Avicennia,60,19.09854851,166.1609264,277.8591132,5.266550228,193.7157128
Estacion,4/19/2017,Avicennia,14,4.456327986,5.054441676,7.83958963,1.701096508,5.479672296
Estacion,4/19/2017,Avicennia,53,16.87038452,123.3752344,204.9926899,4.962621239,142.9467019
Estacion,4/19/2017,Avicennia,62.8,19.98981411,185.3826341,310.734077,5.378295981,216.6177057
Estacion,4/19/2017,Avicennia,18.3,5.825057296,9.61276929,15.11758995,2.357313647,10.56178907
Estacion,4/19/2017,Avicennia,17,5.411255411,8.054587711,12.61893912,2.176778743,8.817278082
Estacion,4/19/2017,Avicennia,96,30.55767762,513.3538969,879.5602757,6.41805912,612.6941758
Estacion,4/19/2017,Avicennia,88.5,28.17035905,422.3084327,720.5299562,6.218762303,501.9874386
Estacion,4/19/2017,Avicennia,25.5,8.116883117,21.31387119,34.09932523,3.170168258,23.80921821
Estacion,4/19/2017,Avicennia,20,6.366182837,11.89701183,18.79604452,2.574950121,13.12964441
Estacion,4/19/2017,Avicennia,14,4.456327986,5.054441676,7.83958963,1.701096508,5.479672296
Estacion,4/19/2017,Avicennia,46,14.64222052,87.81823411,144.8486996,4.615577472,101.0321241
Estacion,4/19/2017,Avicennia,91.5,29.12528648,457.484653,781.8929927,6.300436533,544.7063639
Estacion,4/19/2017,Avicennia,59.3,18.87573211,161.5463567,269.9786469,5.23779885,188.225587
Estacion,4/19/2017,Avicennia,18.5,5.888719124,9.866839233,15.52587736,2.383944344,10.84682683
Estacion,4/19/2017,Avicennia,10.2,3.246753247,2.363775985,3.606751871,0.925255965,2.522443594
Estacion,4/19/2017,Avicennia,19.3,6.143366437,10.92203202,17.22392315,2.487663535,12.03222718
Estacion,4/19/2017,Avicennia,22.2,7.066462949,15.28315587,24.27642948,2.830632158,16.95473162
Estacion,4/19/2017,Avicennia,85.5,27.21543163,388.7626906,662.1136604,6.134271172,461.317492
Estacion,4/19/2017,Avicennia,9.2,2.928444105,1.845256269,2.800591981,0.672454586,1.9590004
Estacion,4/19/2017,Avicennia,18.5,5.888719124,9.866839233,15.52587736,2.383944344,10.84682683
Estacion,4/19/2017,Avicennia,9.6,3.055767762,2.043698674,3.108605469,0.776725642,2.174290185
Estacion,4/19/2017,Avicennia,14,4.456327986,5.054441676,7.83958963,1.701096508,5.479672296
Estacion,4/19/2017,Avicennia,56.5,17.98446651,143.8408294,239.7885294,5.119295614,167.1917748
Estacion,4/19/2017,Avicennia,34,10.82251082,42.51236881,69.03321275,3.874989336,48.17656431
Estacion,4/19/2017,Avicennia,9.4,2.992105933,1.942999785,2.952220444,0.725144789,2.064984995
Estacion,4/19/2017,Avicennia,11.3,3.596893303,3.022415503,4.63621582,1.176172729,3.241827849
Estacion,12/15/2018,Avicennia,76,24.19149478,293.0343454,496.0459508,5.845702734,345.6845861
Estacion,12/15/2018,Avicennia,33,10.50420168,39.57303504,64.16110739,3.801849576,44.77881407
Estacion,12/15/2018,Avicennia,49,15.59714795,102.1966114,169.1160997,4.770365781,117.9454437
Estacion,12/15/2018,Avicennia,41,13.05067482,66.62652459,109.2429467,4.333657614,76.21262686
Estacion,12/15/2018,Avicennia,27.2,8.658008658,24.88463491,39.94512704,3.328287635,27.88774771
Estacion,12/15/2018,Avicennia,39,12.41405653,59.09094844,96.63719636,4.211132084,67.42428832
Estacion,12/15/2018,Avicennia,58.5,18.6210848,156.365156,261.1363091,5.204521598,182.0652109
Estacion,12/15/2018,Avicennia,32.4,10.3132162,37.86813601,61.33868006,3.756894186,42.81040116
Estacion,12/15/2018,Avicennia,37.7,12.00025465,54.47348296,88.92979946,4.128073282,62.05052749
Estacion,12/15/2018,Avicennia,20.6,6.557168322,12.7716566,20.20875175,2.647369186,14.11572595
Estacion,12/15/2018,Avicennia,21.4,6.811815635,13.9945507,22.18741327,2.740713809,15.49676519
Estacion,12/15/2018,Avicennia,32.6,10.37687802,38.43157155,62.27113976,3.771971157,43.46072287
Estacion,12/15/2018,Avicennia,31,9.867583397,34.05916285,55.04307519,3.648674701,38.41948926
Estacion,12/15/2018,Avicennia,41,13.05067482,66.62652459,109.2429467,4.333657614,76.21262686
