Localidad,Fecha,Estacion,Transecto,Parcela,Especie,CAP (cm),DAP (cm),Altura (m),Estado,Estado de decaimiento,Biomasa vivos (kg) Medina 2016,Biomasa de arboles muertos (kg),Biomasa total (kg)
San Andres,3/9/2022,Old Point,1,P7,Ag,16.8,5.347593583,,V,,12.258067,,12.258067
San Andres,3/9/2022,Old Point,1,P7,Ag,10.2,3.246753247,,V,,3.606751871,,3.606752
San Andres,3/9/2022,Old Point,1,P7,Ag,17.9,5.697733639,,V,,14.32026322,,14.320263
San Andres,3/9/2022,Old Point,1,P7,Rm,8.5,2.705627706,,V,,3.344386945,,3.344387
San Andres,3/9/2022,Old Point,1,P7,Ag,28.3,9.008148714,,V,,44.02263446,,44.022634
San Andres,3/9/2022,Old Point,1,P7,Ag,14.6,4.647313471,,V,,8.689106518,,8.689107
San Andres,3/9/2022,Old Point,1,P7,Ag,18.9,6.016042781,,V,,16.3618584,,16.361858
San Andres,3/9/2022,Old Point,1,P7,Ag,23.4,7.448433919,,V,,27.62089471,,27.620895
San Andres,3/9/2022,Old Point,1,P7,Ag,15.4,4.901960784,,V,,9.903205154,,9.903205
San Andres,3/9/2022,Old Point,1,P7,Ag,11.8,3.756047874,,V,,5.155423442,,5.155423
San Andres,3/9/2022,Old Point,1,P7,Ag,17.2,5.47491724,,V,,12.98602749,,12.986027
San Andres,3/9/2022,Old Point,1,P7,Ag,14.3,4.551820728,,V,,8.257880383,,8.25788
San Andres,3/9/2022,Old Point,1,P7,Ag,35.9,11.42729819,,V,,78.87807156,,78.878072
San Andres,3/10/2022,Old Point,2,P2,Rm,8,2.546473135,,M,3,2.906411663,2.034488,4.9409
San Andres,3/10/2022,Old Point,2,P2,Rm,22.5,7.161955691,,V,,31.85231962,,31.85232
San Andres,3/10/2022,Old Point,2,P2,Rm,28.7,9.135472371,,V,,55.95859945,,55.958599
San Andres,3/10/2022,Old Point,2,P2,Ag,23.1,7.352941176,,M,3,26.7607768,18.732544,45.493321
San Andres,3/10/2022,Old Point,2,P2,Lr,38,12.09574739,,M,3,60.04464944,42.031255,102.075904
San Andres,3/10/2022,Old Point,2,P2,Lr,38.2,12.15940922,,V,,60.75051799,,60.750518
San Andres,3/10/2022,Old Point,2,P2,Rm,19,6.047873695,,M,1,21.53431656,15.074022,36.608338
San Andres,3/10/2022,Old Point,2,P2,Rm,47,14.96052967,,V,,175.3238711,,175.323871
San Andres,3/10/2022,Old Point,2,P2,Rm,3.9,1.241405653,,V,,0.550712286,,0.550712
San Andres,3/10/2022,Old Point,2,P2,Rm,42.5,13.52813853,,V,,138.8806596,,138.88066
San Andres,3/10/2022,Old Point,2,P2,Rm,31.5,10.02673797,,V,,69.41787355,,69.417874
San Andres,3/10/2022,Old Point,2,P2,Rm,22.5,7.161955691,,V,,31.85231962,,31.85232
San Andres,3/10/2022,Old Point,2,P2,Lr,49.4,15.72447161,,V,,107.6856399,,107.68564
San Andres,3/10/2022,Old Point,2,P2,Rm,39,12.41405653,,V,,113.8216207,,113.821621
San Andres,3/10/2022,Old Point,2,P2,Ag,33.2,10.56786351,,M,3,65.1186614,45.583063,110.701724
San Andres,3/10/2022,Old Point,2,P2,Rm,10.2,3.246753247,,V,,5.100877084,,5.100877
San Andres,3/10/2022,Old Point,2,P5,Ag,15.1,4.806468042,,V,,9.436892468,,9.436892
San Andres,3/10/2022,Old Point,2,P5,Rm,10.7,3.405907818,,V,,5.698560209,,5.69856
San Andres,3/10/2022,Old Point,2,P5,Ag,23.4,7.448433919,,M,2,27.62089471,23.47776,51.098655
San Andres,3/10/2022,Old Point,2,P5,Ag,39.4,12.54138019,,V,,99.08531896,,99.085319
San Andres,3/10/2022,Old Point,2,P5,Ag,45.6,14.51489687,,V,,141.7801167,,141.780117
San Andres,3/10/2022,Old Point,2,P5,Ag,13.8,4.392666157,,V,,7.567854624,,7.567855
San Andres,3/10/2022,Old Point,2,P5,Ag,21.2,6.748153807,,V,,21.68247503,,21.682475
San Andres,3/10/2022,Old Point,2,P5,Ag,35.8,11.39546728,,V,,78.34048233,,78.340482
San Andres,3/10/2022,Old Point,2,P5,Ag,9.3,2.960275019,,V,,2.875814503,,2.875815
San Andres,3/10/2022,Old Point,2,P5,Ag,19.6,6.23885918,,M,3,17.8877384,12.521417,30.409155
San Andres,3/10/2022,Old Point,2,P5,Ag,48.4,15.40616246,,V,,164.0841372,,164.084137
San Andres,3/10/2022,Old Point,2,P5,Ag,35.8,11.39546728,,V,,78.34048233,,78.340482
San Andres,3/10/2022,Old Point,2,P5,Ag,9.2,2.928444105,,V,,2.800591981,,2.800592
San Andres,3/10/2022,Old Point,2,P5,Ag,14.6,4.647313471,,V,,8.689106518,,8.689107
San Andres,3/10/2022,Old Point,2,P5,Ag,9.2,2.928444105,,V,,2.800591981,,2.800592
San Andres,3/10/2022,Old Point,2,P5,Rm,10.9,3.469569646,,V,,5.948212173,,5.948212
San Andres,3/10/2022,Old Point,2,P5,Rm,9.4,2.992105933,,V,,4.221976389,,4.221976
San Andres,3/10/2022,Old Point,2,P5,Ag,18.9,6.016042781,,V,,16.3618584,,16.361858
San Andres,3/10/2022,Old Point,2,P5,Ag,20.6,6.557168322,,V,,20.20875175,,20.208752
San Andres,3/10/2022,Old Point,2,P5,Ag,56.1,17.85714286,,V,,235.6478445,,235.647845
San Andres,3/10/2022,Old Point,2,P5,Ag,8.6,2.73745862,,V,,2.37378334,,2.373783
San Andres,3/10/2022,Old Point,2,P5,Ag,11.7,3.72421696,,M,3,5.048966648,3.534277,8.583243
San Andres,3/10/2022,Old Point,2,P5,Rm,7.8,2.482811306,,V,,2.740939909,,2.74094
San Andres,3/10/2022,Old Point,2,P5,Rm,9,2.864782277,,V,,3.817601238,,3.817601
San Andres,3/10/2022,Old Point,2,P5,Ag,9.7,3.087598676,,V,,3.188595916,,3.188596
San Andres,3/10/2022,Old Point,2,P5,Ag,15.4,4.901960784,,V,,9.903205154,,9.903205
San Andres,3/10/2022,Old Point,2,P5,Ag,7.9,2.514642221,,M,2,1.927718274,1.638561,3.566279
San Andres,3/10/2022,Old Point,2,P5,Ag,15.1,4.806468042,,M,3,9.436892468,6.605825,16.042717
San Andres,3/10/2022,Old Point,2,P5,Ag,8.4,2.673796791,,V,,2.240715665,,2.240716
San Andres,3/10/2022,Old Point,2,P5,Ag,13.7,4.360835243,,M,2,7.434110963,6.318994,13.753105
San Andres,3/10/2022,Old Point,2,P5,Ag,27.8,8.848994143,,V,,42.14012804,,42.140128
San Andres,3/10/2022,Old Point,2,P5,Rm,9.7,3.087598676,,V,,4.540518788,,4.540519
San Andres,3/10/2022,Old Point,2,P5,Ag,28,8.912655971,,V,,42.8872866,,42.887287
San Andres,3/10/2022,Old Point,2,P5,Rm,7.9,2.514642221,,V,,2.822987046,,2.822987
San Andres,3/10/2022,Old Point,2,P5,Rm,10.6,3.374076903,,V,,5.576010085,,5.57601
San Andres,3/10/2022,Old Point,2,P5,Ag,12.2,3.88337153,,M,3,5.594478659,3.916135,9.510614
San Andres,3/10/2022,Old Point,2,P5,Ag,8,2.546473135,,V,,1.988094143,,1.988094
San Andres,3/10/2022,Old Point,2,P5,Rm,8.2,2.610134963,,V,,3.07741519,,3.077415
San Andres,3/10/2022,Old Point,2,P5,Ag,21.2,6.748153807,,V,,21.68247503,,21.682475
San Andres,3/10/2022,Old Point,2,P5,Rm,8.3,2.641965877,,V,,3.16500491,,3.165005
San Andres,3/10/2022,Old Point,2,P5,Rm,9.2,2.928444105,,V,,4.016898309,,4.016898
San Andres,3/10/2022,Old Point,2,P5,Rm,10.4,3.310415075,,V,,5.33543915,,5.335439
San Andres,3/10/2022,Old Point,2,P5,Ag,15.8,5.029284441,,V,,10.54578237,,10.545782
San Andres,3/10/2022,Old Point,2,P5,Ag,9.1,2.896613191,,V,,2.726547112,,2.726547
San Andres,3/10/2022,Old Point,2,P5,Rm,8.6,2.73745862,,V,,3.436189805,,3.43619
San Andres,3/10/2022,Old Point,2,P5,Rm,79,25.14642221,,V,,583.4570411,,583.457041
San Andres,3/10/2022,Old Point,2,P5,Rm,88,28.01120448,,V,,749.0203404,,749.02034
San Andres,3/10/2022,Old Point,2,P5,Ag,18.9,6.016042781,,V,,16.3618584,,16.361858
San Andres,3/10/2022,Old Point,2,P5,Rm,7.9,2.514642221,,V,,2.822987046,,2.822987
San Andres,3/10/2022,Old Point,2,P5,Ag,11.6,3.692386045,,V,,4.943822581,,4.943823
San Andres,3/10/2022,Old Point,2,P5,Rm,9.6,3.055767762,,V,,4.432874812,,4.432875
San Andres,3/10/2022,Old Point,2,P5,Rm,8.4,2.673796791,,V,,3.25399373,,3.253994
San Andres,3/10/2022,Old Point,2,P5,Rm,12.4,3.947033359,,V,,8.017373355,,8.017373
San Andres,3/10/2022,Old Point,2,P5,Rm,9.5,3.023936847,,V,,4.326695621,,4.326696
San Andres,3/10/2022,Old Point,2,P5,Ag,14.9,4.742806213,,M,3,9.133389922,6.393373,15.526763
San Andres,3/10/2022,Old Point,2,P5,Rm,10.3,3.278584161,,V,,5.21740929,,5.217409
San Andres,3/10/2022,Old Point,2,P5,Rm,7.9,2.514642221,,V,,2.822987046,,2.822987
San Andres,3/10/2022,Old Point,2,P5,Rm,7.9,2.514642221,,M,3,2.822987046,1.976091,4.799078
San Andres,3/10/2022,Old Point,2,P5,Rm,8.5,2.705627706,,V,,3.344386945,,3.344387
San Andres,3/10/2022,Old Point,2,P5,Ag,14.4,4.583651642,,V,,8.400179115,,8.400179
San Andres,3/10/2022,Old Point,2,P5,Rm,8.7,2.769289534,,V,,3.529407517,,3.529408
San Andres,3/10/2022,Old Point,2,P5,Rm,8.4,2.673796791,,M,3,3.25399373,2.277796,5.531789
San Andres,3/10/2022,Old Point,2,P5,Rm,8.2,2.610134963,,V,,3.07741519,,3.077415
San Andres,3/10/2022,Old Point,2,P5,Rm,12.1,3.851540616,,V,,7.575404867,,7.575405
San Andres,3/10/2022,Old Point,2,P5,Rm,8.2,2.610134963,,V,,3.07741519,,3.077415
