Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
146,EIA PPII - PLATERO sobre YNC,Grias haughtii R.Knuth,0.195583668,0.031803573,1.733193599,0.239602979,10.11111111,8.111111111,0.01093337,0.005466673,0.049200061,100,9
147,EIA PPII - PLATERO sobre YNC,Trichilia martiana C.DC.,0.173334361,0.027276266,1.940909039,0.245087933,11.36363636,8.090909091,0.014169068,0.007084521,0.077929734,279,11
148,EIA PPII - PLATERO sobre YNC,Ilex sp.01,0.200534999,0.0315843,0.221090004,0.265307993,12,10,0.0106734,0.00533671,0.00533671,12,1
149,EIA PPII - PLATERO sobre YNC,Bursera simaruba (L.) Sarg.,0.292924758,0.080907273,2.624527149,0.857537987,15.25,11.25,0.140658443,0.070329344,0.281317377,51,4
150,EIA PPII - PLATERO sobre YNC,Alchornea glandulosa Poepp.,0.264196992,0.054820899,0.460496008,0.537244976,14,12,0.038874801,0.019437401,0.019437401,15,1
151,EIA PPII - PLATERO sobre YNC,Eschweilera pittieri R.Knuth,0.293347685,0.08348894,11.09558574,0.677452118,11.31578947,9.421052632,0.097576147,0.048788055,0.926973045,429,19
152,EIA PPII - PLATERO sobre YNC,Margaritaria nobilis L.f.,0.157681201,0.024917235,3.258606041,0.137723637,7.833333333,5.8,0.008805755,0.004402877,0.132086321,673,30
153,EIA PPII - PLATERO sobre YNC,Ocotea oblonga (Meisn.) Mez,0.234176627,0.049558149,6.194161098,0.603736748,15.5,10,0.080700868,0.040350432,0.645606907,292,16
154,EIA PPII - PLATERO sobre YNC,Calyptranthes sp.01,0.226000004,0.044698701,0.727380432,0.401131734,11,9.5,0.032747676,0.016373838,0.032747676,21,2
155,EIA PPII - PLATERO sobre YNC,Pterocarpus officinalis Jacq.,0.439267993,0.151547,1.060829997,1.591249943,15,10,0.284168005,0.142084002,0.142084002,7,1
156,EIA PPII - PLATERO sobre YNC,Annona mucosa Jacq.,0.229627636,0.048980848,3.311643872,0.399309227,11.90909091,8.545454545,0.033525885,0.016762925,0.184392174,239,11
157,EIA PPII - PLATERO sobre YNC,Attalea butyracea (L.f.) Wess.Boer,0.298972752,0.074408851,1.372795018,0.570878763,11,5.000005,0.050718875,0.02535945,0.101437801,126,4
158,EIA PPII - PLATERO sobre YNC,Pouteria sp.01,0.176058223,0.026540871,1.587308884,0.242115263,12.55555556,9.222222222,0.011956378,0.005978193,0.053803733,157,9
159,EIA PPII - PLATERO sobre YNC,Casearia sp.01,0.251464993,0.0496643,0.347649992,0.417180002,12,10,0.0244582,0.0122291,0.0122291,11,1
160,EIA PPII - PLATERO sobre YNC,Ormosia paraensis Ducke,0.279935998,0.069720709,5.400753958,0.696877812,12.66666667,10.66666667,0.092261891,0.046130946,0.41517851,151,9
161,EIA PPII - PLATERO sobre YNC,Andira inermis (Wright) DC.,0.180778471,0.036373728,1.864570323,0.206047187,8.882352941,3.011764706,0.016701479,0.008350742,0.14196262,262,17
162,EIA PPII - PLATERO sobre YNC,Machaerium capote Dugand,0.229289005,0.049396408,0.811933707,0.474848956,11.66666667,7.666666667,0.047961805,0.023980928,0.071942785,68,3
163,EIA PPII - PLATERO sobre YNC,Apeiba tibourbou Aubl.,0.161277001,0.021310867,0.363542303,0.159633304,10.33333333,8.333333333,0.00514229,0.002571151,0.007713453,55,3
164,EIA PPII - PLATERO sobre YNC,Lecythis minor Jacq.,0.211109998,0.043319444,7.11005133,0.424028539,13.30434783,9.152173913,0.044938936,0.022469477,0.51679798,535,23
165,EIA PPII - PLATERO sobre YNC,Nectandra sp.01,0.180907224,0.028106763,4.225539181,0.290937594,13.61111111,10.88888889,0.018832489,0.009416227,0.169492078,509,18
166,EIA PPII - PLATERO sobre YNC,Tetrathylacium johansenii Standl.,0.231305003,0.050022266,1.001651198,0.453885948,11.33333333,8.666666667,0.047309969,0.023654982,0.070964946,64,3
167,EIA PPII - PLATERO sobre YNC,Luehea seemannii Triana & Planch.,0.385346049,0.168219665,31.56387454,1.822117269,11.86363636,8.772727273,0.753635539,0.376817367,8.289982082,268,22
168,EIA PPII - PLATERO sobre YNC,Sorocea pubivena Hemsl.,0.169386429,0.022864757,0.847052898,0.183861152,11,7,0.006058083,0.003029041,0.02120329,160,7
169,EIA PPII - PLATERO sobre YNC,Ocotea sp.02,0.117774505,0.011021495,0.0589518,0.043257151,5.5,3.5,0.000411039,0.00020552,0.00041104,17,2
170,EIA PPII - PLATERO sobre YNC,Annona sp.01,0.130507251,0.015122702,0.435217503,0.074779839,6.625,4.625,0.001809563,0.000904784,0.007238274,186,8
171,EIA PPII - PLATERO sobre YNC,Protium heptaphyllum (Aubl.) Marchand,0.155195499,0.020438066,1.451320595,0.177441625,12.91666667,8.666666667,0.006209899,0.003104949,0.037259393,307,12
172,EIA PPII - PLATERO sobre YNC,Couma macrocarpa Barb.Rodr.,0.255284466,0.060869947,6.365280278,0.76470074,16.46666667,8.033333333,0.12667576,0.06333792,0.950068795,307,15
173,EIA PPII - PLATERO sobre YNC,Sterculia apetala (Jacq.) H.Karst.,0.221861997,0.04104802,1.588102117,0.425098735,14.2,10.8,0.02955031,0.014775145,0.073875725,41,5
174,EIA PPII - PLATERO sobre YNC,Mangifera indica L.,0.506113008,0.202142499,2.74695605,2.103009939,15,9.5,0.475485489,0.237742506,0.475485012,13,2
175,EIA PPII - PLATERO sobre YNC,Virola flexuosa A.C.Sm.,0.271540795,0.073869634,2.881077019,0.790537959,13.6,9.4,0.12887987,0.064439935,0.322199674,109,5
176,EIA PPII - PLATERO sobre YNC,Machaerium floribundum Benth.,0.27668,0.063331701,0.925531015,0.659536973,14,10,0.069586247,0.034793027,0.069586053,34,2
177,EIA PPII - PLATERO sobre YNC,Lindackeria laurina C.Presl,0.142585325,0.017942093,2.954563859,0.122849878,8.918918919,5.851351351,0.004903545,0.002451773,0.090715607,556,37
178,EIA PPII - PLATERO sobre YNC,Schefflera morototoni (Aubl.) Maguire et al.,0.246867273,0.060405685,20.06390591,0.827565292,18.11363636,10.55681818,0.156401079,0.078200527,3.440823207,930,44
179,EIA PPII - PLATERO sobre YNC,Inga acrocephala Steud.,0.206901167,0.041377665,1.801102363,0.400065641,11.5,9,0.044974821,0.022487399,0.134924392,88,6
180,EIA PPII - PLATERO sobre YNC,Platymiscium hebestachyum Benth.,0.136873007,0.0147139,0.123597004,0.144196004,14,12,0.00349297,0.00174648,0.00174648,27,1
181,EIA PPII - PLATERO sobre YNC,Pseudolmedia rigida (Klotzsch & H.Karst.) Cuatrec.,0.198606708,0.036814929,4.661006389,0.39661162,13.76470588,9,0.040221289,0.020110638,0.341880848,472,17
182,EIA PPII - PLATERO sobre YNC,Amaioua corymbosa Kunth,0.179147916,0.037347345,5.155261116,0.257569129,9.671428571,5.531428565,0.0381125,0.019056244,0.66696854,720,35
183,EIA PPII - PLATERO sobre YNC,Erythroxylum sp.01,0.140055999,0.0154062,0.086274698,0.107842997,10,8,0.00205149,0.00102575,0.00102575,15,1
184,EIA PPII - PLATERO sobre YNC,Trophis caucana (Pittier) C.C.Berg,0.168385801,0.025232826,0.859970108,0.228695153,11.6,8.6,0.012181613,0.006090806,0.03045403,86,5
