Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
180,EIA PPII - KALE sobre YNC,Tabernaemontana sananho Ruiz & Pav.,0.195622146,0.031461494,0.430012865,0.409701714,18.6,4.64000001,14.20044651,7.100223255,35.50111628,161,5
181,EIA PPII - KALE sobre YNC,Tapirira guianensis Aubl.,0.204173344,0.039408837,59.51669198,0.467799627,14.29697987,6.426845636,11.17152069,5.585760347,1664.556583,8205,298
182,EIA PPII - KALE sobre YNC,Terminalia amazonia (J.F.Gmel.) Exell,0.271942747,0.065354989,1.374024883,0.730001671,14.66666667,7,18.40710735,9.203553677,55.22132206,114,6
183,EIA PPII - KALE sobre YNC,Terminalia catappa L.,0.133473825,0.01420991,0.029874847,0.126865994,13,1.600000024,10.91193867,5.455969334,10.91193867,7,2
184,EIA PPII - KALE sobre YNC,Tetrorchidium rubrivenium Poepp.,0.175770721,0.025904902,0.658400044,0.298037161,16.2,6.8,11.68074245,5.840371227,29.20185614,133,5
185,EIA PPII - KALE sobre YNC,Thevetia ahouai (L.) A.DC.,0.137828179,0.015080064,0.127008906,0.091946145,8.333333333,4,8.761437257,4.380718629,13.14215589,66,3
186,EIA PPII - KALE sobre YNC,Trattinnickia aspera (Standl.) Swart,0.186131904,0.029925057,2.217617168,0.374616841,16.78571429,5.907142857,11.48461744,5.742308719,80.39232206,365,14
187,EIA PPII - KALE sobre YNC,Trattinnickia cf. aspera (Standl.) Swart,0.262348559,0.058999963,4.214484356,0.678842747,15.92307692,7.769230769,12.11731316,6.058656582,78.76253557,462,13
188,EIA PPII - KALE sobre YNC,Triplaris americana L.,0.154132665,0.020858378,3.367176996,0.208942816,13.88571429,7.228571429,10.14711793,5.073558964,177.5745637,1046,35
189,EIA PPII - KALE sobre YNC,Trophis racemosa (L.) Urb.,0.137470482,0.015499423,0.102180748,0.122809779,11.5,2.425000001,9.206635237,4.603317618,18.41327047,123,4
190,EIA PPII - KALE sobre YNC,Virola sebifera Aubl.,0.247415341,0.053474061,19.68506613,0.737403959,18.49180328,7.991803279,14.71245451,7.356227255,448.7298626,1392,61
191,EIA PPII - KALE sobre YNC,Vismia guianensis (Aubl.) Pers.,0.143010304,0.017461932,0.998486807,0.160698752,11.52941176,3.917647053,8.375382395,4.187691198,71.19075036,543,17
192,EIA PPII - KALE sobre YNC,Vochysia ferruginea Mart.,0.144831,0.019742773,0.617470639,0.164392555,10.36363636,3.481818177,6.755534302,3.377767151,37.15543866,272,11
193,EIA PPII - KALE sobre YNC,Vochysia lehmannii Hieron.,0.256125775,0.056573497,3.662576705,0.591977637,16.2,6.466666667,13.43300012,6.71650006,100.7475009,475,15
194,EIA PPII - KALE sobre YNC,Wittmackanthus stanleyanus (M.R.Schomb.) Kunt.,0.27151832,0.057901286,0.405308992,0.648494363,16,10,20.73049355,10.36524677,10.36524677,10,1
195,EIA PPII - KALE sobre YNC,Xylopia aromatica (Lam.) Mart.,0.190137587,0.032361057,30.75574406,0.358903775,15.04117647,7.470588235,14.12405948,7.062029742,1200.545056,4375,170
196,EIA PPII - KALE sobre YNC,Xylopia discreta (L.f.) Sprague & Hutch.,0.178946954,0.028964029,2.52534008,0.272330386,13.09090909,9.636363636,10.63017962,5.315089811,58.46598792,353,11
197,EIA PPII - KALE sobre YNC,Xylopia emarginata Mart.,0.158310695,0.021963418,9.854749884,0.23132803,13.39814815,5.000000001,12.08954158,6.044770788,652.8352451,2186,108
198,EIA PPII - KALE sobre YNC,Xylopia polyantha R.E.Fr.,0.152894847,0.019556774,0.132480426,0.214492775,15.33333333,3.333333333,13.77598794,6.887993972,20.66398191,97,3
199,EIA PPII - KALE sobre YNC,Zygia inaequalis (Willd.) Pittier,0.204782264,0.046651895,1.774676049,0.404235534,10.05555556,4.544444455,11.35304726,5.676523632,51.08871269,238,9
200,EIA PPII - KALE sobre YNC,Zygia ocumarensis (Pittier) Barneby & J.W.Grimes,0.167292934,0.02262628,0.848801327,0.224258541,13.55555556,5.200000005,10.60021528,5.300107638,47.70096874,317,9
